date,steel prices,steel shortage,steel demand,iron ore,construction boom,infrastructure spending,auto production,electric vehicle,shipbuilding,wind turbine,cement prices,steel tariffs,blast furnace,steel mill,rebar prices
2015-08-01,19,0,17,59,35,17,20,14,26,35,42,0,18,43,30
2015-09-01,19,1,27,53,41,24,23,16,29,37,39,0,18,40,38
2015-10-01,18,0,26,48,37,35,22,16,27,41,38,1,23,42,27
2015-11-01,19,1,23,55,34,30,21,15,26,42,37,1,23,38,31
2015-12-01,18,0,19,59,34,24,20,14,23,39,33,1,20,37,32
2016-01-01,19,2,24,59,36,28,27,15,25,39,35,1,20,40,35
2016-02-01,19,3,30,57,36,33,29,17,28,44,45,1,22,41,31
2016-03-01,20,2,34,74,43,49,25,15,26,41,40,2,20,40,56
2016-04-01,20,1,27,59,42,48,25,19,25,44,38,2,21,42,58
2016-05-01,20,2,27,59,39,34,24,16,27,42,39,2,20,39,55
2016-06-01,18,2,19,51,32,27,24,16,26,36,39,1,20,39,58
2016-07-01,16,0,18,47,31,26,20,14,23,30,39,1,17,36,33
2016-08-01,16,0,18,46,32,30,23,15,22,32,35,1,14,40,28
2016-09-01,18,2,25,44,32,32,26,17,28,43,42,1,18,40,31
2016-10-01,18,1,25,45,35,37,25,16,26,45,36,1,17,40,23
2016-11-01,18,0,23,64,37,82,23,18,27,43,36,1,20,42,33
2016-12-01,17,0,23,52,30,46,21,16,22,37,31,1,19,39,38
2017-01-01,18,1,23,51,36,57,27,17,25,41,33,1,19,48,46
2017-02-01,19,2,32,58,34,62,25,18,26,49,40,1,21,43,40
2017-03-01,19,2,29,55,38,58,24,18,25,50,41,1,21,42,45
2017-04-01,19,1,25,56,41,50,26,18,24,45,43,1,18,37,48
2017-05-01,18,0,19,53,36,45,22,18,24,43,41,1,18,37,46
2017-06-01,18,0,21,49,35,34,20,18,22,36,41,1,17,36,31
2017-07-01,18,1,20,50,33,32,21,22,23,33,41,3,16,39,34
2017-08-01,19,1,16,50,39,25,19,22,23,32,36,1,16,38,48
2017-09-01,18,2,25,49,44,27,24,25,24,35,36,1,17,35,49
2017-10-01,17,2,28,49,44,35,23,26,23,39,37,1,21,46,50
2017-11-01,17,2,23,50,42,36,22,27,23,38,36,1,19,38,34
2017-12-01,16,2,22,43,43,33,20,26,20,34,35,1,18,37,35
2018-01-01,17,2,19,48,40,36,23,27,22,36,37,1,20,38,33
2018-02-01,18,2,29,46,41,48,26,27,23,39,35,4,20,42,40
2018-03-01,25,3,32,49,41,33,22,27,22,41,39,100,20,46,50
2018-04-01,20,2,25,41,43,35,22,26,22,41,40,18,17,38,50
2018-05-01,19,2,21,41,37,27,21,26,22,38,41,21,17,37,47
2018-06-01,19,1,21,41,39,22,21,25,22,31,37,42,16,36,35
2018-07-01,18,3,20,38,36,24,23,25,20,30,37,15,17,40,36
2018-08-01,18,2,19,41,39,25,19,27,21,30,36,10,17,41,39
2018-09-01,19,2,27,43,39,24,21,30,22,34,36,9,18,38,37
2018-10-01,18,1,27,41,37,28,23,32,25,37,38,11,19,39,35
2018-11-01,17,2,23,45,39,31,22,33,21,37,35,9,21,41,37
2018-12-01,16,1,18,38,33,26,19,27,18,32,27,6,24,36,37
2019-01-01,16,2,18,44,34,25,21,28,24,35,32,6,27,41,33
2019-02-01,17,2,27,52,38,30,24,31,24,44,37,6,25,44,41
2019-03-01,16,2,22,46,39,32,23,33,22,43,39,6,24,40,48
2019-04-01,16,2,23,47,33,32,22,35,20,49,39,5,41,38,42
2019-05-01,15,1,22,45,33,32,21,34,21,42,40,13,67,37,32
2019-06-01,16,1,19,47,37,27,20,34,21,40,36,5,70,36,31
2019-07-01,17,2,20,52,36,22,19,40,20,35,39,3,100,40,36
2019-08-01,16,2,18,54,35,23,21,37,24,33,34,3,88,43,31
2019-09-01,15,2,29,53,30,24,22,39,23,41,34,3,63,39,31
2019-10-01,15,1,27,45,32,25,21,40,22,39,30,4,42,37,30
2019-11-01,14,2,24,47,35,31,21,39,24,41,29,3,35,37,24
2019-12-01,14,2,19,44,25,28,18,38,20,37,27,4,40,38,24
2020-01-01,14,1,21,49,31,31,21,42,22,39,33,3,41,38,15
2020-02-01,14,2,26,50,39,27,25,43,22,44,34,3,46,42,31
2020-03-01,14,3,27,56,25,27,23,31,20,33,31,2,70,36,32
2020-04-01,14,3,27,55,29,37,25,24,21,33,33,2,78,34,33
2020-05-01,13,3,24,55,26,31,23,27,19,35,51,1,64,32,28
2020-06-01,15,3,22,54,31,34,21,33,20,32,52,2,68,36,34
2020-07-01,14,4,25,52,30,25,22,37,19,31,50,1,80,34,27
2020-08-01,13,4,20,56,27,21,21,37,19,31,51,2,55,39,34
2020-09-01,15,5,42,58,31,26,24,41,27,35,46,2,46,38,27
2020-10-01,13,5,39,50,34,24,22,38,21,42,41,2,46,36,29
2020-11-01,14,4,30,49,26,30,21,41,18,33,41,2,49,37,23
2020-12-01,16,5,36,66,27,22,20,42,18,32,40,1,56,39,39
2021-01-01,20,8,28,62,27,22,21,50,18,36,42,1,61,39,30
2021-02-01,20,10,35,63,33,30,24,61,20,49,40,2,69,39,29
2021-03-01,19,11,38,64,35,40,22,58,21,41,44,1,55,37,42
2021-04-01,19,13,33,59,36,51,24,53,19,37,49,2,47,37,40
2021-05-01,27,18,33,78,29,37,24,53,18,38,49,2,42,37,47
2021-06-01,23,14,25,65,34,32,21,59,18,36,47,2,55,38,48
2021-07-01,19,10,27,65,30,25,20,63,17,34,45,1,49,36,42
2021-08-01,19,9,24,80,27,46,22,61,17,34,43,1,38,37,46
2021-09-01,20,10,39,100,30,37,27,61,21,36,41,2,33,39,42
2021-10-01,20,14,37,81,27,53,27,64,21,40,43,2,32,40,38
2021-11-01,17,8,36,70,33,100,25,74,20,40,39,3,31,39,35
2021-12-01,15,4,26,61,28,32,22,62,17,31,37,2,46,37,30
2022-01-01,17,6,40,75,32,30,29,70,20,37,44,1,59,43,33
2022-02-01,18,7,52,83,37,36,32,80,21,47,41,2,47,44,36
2022-03-01,27,7,49,83,35,41,33,100,21,52,52,2,44,44,67
2022-04-01,19,6,43,71,37,43,32,86,19,51,53,2,41,40,55
2022-05-01,20,6,37,70,40,32,27,75,21,47,51,1,42,39,51
2022-06-01,19,5,33,71,32,29,26,80,19,42,53,1,52,38,46
2022-07-01,17,5,25,62,27,27,23,78,19,41,47,1,54,37,42
2022-08-01,16,4,25,62,28,26,22,83,21,41,41,1,47,35,42
2022-09-01,15,5,46,70,27,29,26,75,21,43,41,1,38,37,30
2022-10-01,14,5,43,64,30,33,29,73,20,46,39,2,36,38,29
2022-11-01,13,5,38,69,28,37,24,67,19,44,40,1,42,36,27
2022-12-01,12,3,37,62,26,34,21,66,17,41,34,1,44,38,23
2023-01-01,13,4,37,73,30,28,29,76,19,44,37,1,51,37,28
2023-02-01,14,4,46,64,33,38,27,77,22,47,40,2,50,38,31
2023-03-01,13,3,38,66,36,40,27,72,19,42,36,2,46,39,29
2023-04-01,12,3,36,56,35,38,26,73,21,41,34,1,47,35,25
2023-05-01,12,3,30,58,36,36,23,69,19,43,38,1,42,38,27
2023-06-01,11,2,27,57,36,27,23,74,22,38,34,1,51,36,22
2023-07-01,11,3,23,56,28,26,24,72,22,37,37,1,49,35,19
2023-08-01,12,2,29,59,30,26,22,72,22,39,37,1,43,36,27
2023-09-01,12,3,48,58,29,31,29,82,27,41,36,2,34,38,25
2023-10-01,12,4,41,59,34,35,28,76,23,42,40,2,39,38,19
2023-11-01,10,3,36,59,33,39,25,73,23,41,38,1,40,37,14
2023-12-01,10,2,38,59,27,30,24,76,21,39,31,1,42,38,20
2024-01-01,11,3,33,68,32,30,29,79,22,41,37,1,44,41,17
2024-02-01,11,5,49,74,36,46,31,87,24,42,37,2,46,44,24
2024-03-01,10,3,43,69,36,44,28,85,24,43,37,2,45,40,20
2024-04-01,12,3,41,60,42,47,28,80,24,44,37,3,43,42,21
2024-05-01,10,4,36,61,35,35,24,72,22,43,35,3,52,38,20
2024-06-01,10,4,32,58,28,30,23,71,22,38,35,1,58,37,16
2024-07-01,10,2,30,66,30,36,24,74,22,37,37,2,60,45,20
2024-08-01,11,3,33,70,31,32,22,72,22,41,36,2,51,42,21
2024-09-01,11,4,50,69,31,37,30,73,25,45,31,3,47,43,21
2024-10-01,12,3,44,64,34,45,30,73,25,43,34,3,44,43,14
2024-11-01,10,2,38,68,30,48,28,75,22,46,32,5,47,44,16
2024-12-01,9,3,38,68,33,37,26,69,22,39,28,3,51,41,17
2025-01-01,11,3,35,66,31,39,31,82,24,43,33,5,53,42,17
2025-02-01,14,5,53,74,36,50,37,79,28,46,35,77,52,46,23
